type,area,site,feature1,feature2,price,ave_area
五居/ 五居以上 ,355平米,,普通住宅,海景地产,14000,355
一居/ 二居/ 三居 ,53~104平米,宝坻区,普通住宅,低密居所,7500,78.5
三居/ 四居 ,90~122平米,津南区,普通住宅,经济住宅,9000,106
二居/ 三居 ,78~90平米,静海区,普通住宅,低密居所,6500,84
一居/ 二居/ 三居 ,48~99平米,宝坻区,独栋,品牌地产,7800,73.5
二居/ 三居/ 四居 ,86~144平米,宝坻区,普通住宅,低密居所,8700,115
二居/ 三居 ,80~105平米,宝坻区,普通住宅,低密居所,12500,92.5
三居 ,141平米,宝坻区,联排,经济住宅,28000,141
二居/ 三居 ,71~170平米,东丽区,普通住宅,品牌地产,98,120.5
三居 ,90平米,津南区,联排,品牌地产,8500,90
二居/ 三居 ,75~95平米,北辰区,普通住宅,品牌地产,11000,85
二居/ 三居 ,78~122平米,,普通住宅,低密居所,10500,100
三居 ,87~113平米,蓟州区,普通住宅,低密居所,12000,100
一居/ 二居/ 三居/ 四居 ,64~165平米,武清区,普通住宅,品牌地产,19500,114.5
二居/ 三居 ,85~115平米,宝坻区,普通住宅,品牌地产,13600,100
三居 ,101~126平米,,普通住宅,现房,13200,113.5
二居/ 三居 ,88~118平米,宝坻区,普通住宅,小户型,11400,103
一居/ 二居/ 四居 ,59~222平米,宁河区,普通住宅,文旅地产,6800,140.5
四居 ,304~337平米,宝坻区,普通住宅,特色别墅,550,320.5
二居/ 三居/ 四居 ,85~165平米,蓟州区,普通住宅,低密居所,12320,125
二居/ 三居 ,88~140平米,宝坻区,普通住宅,低密居所,11000,114
二居/ 三居 ,75~97平米,北辰区,普通住宅,品牌地产,65,86
二居/ 三居 ,80~105平米,宝坻区,普通住宅,品牌地产,6800,92.5
一居 ,380~820平米,东丽区,不限购,,15000,600
一居 ,81平米,南开区,地铁沿线,城市中心地产,32000,81
二居/ 三居 ,93~143平米,宝坻区,普通住宅,低密居所,14000,118
二居/ 三居 ,85~100平米,北辰区,普通住宅,低密居所,15500,92.5
一居/ 二居/ 三居 ,58~133平米,北辰区,普通住宅,低总价,10500,95.5
二居/ 三居/ 四居 ,75~115平米,宝坻区,普通住宅,花园洋房,10000,95
一居/ 二居/ 三居 ,45~90平米,宝坻区,普通住宅,经济住宅,6500,67.5
